id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags
1220,Kulunaka Palahilawwa,කුළුණක පැලහිලව්ව,Franklin W Dixon,ෆ්‍රෑන්ක්ලින් ඩබ්ලිව්. ඩික්සන්,Nileka Dananjani Gunawardana,නිලෙකා ධනංජනී ගුණවර්ධන,Sinhala,English Translation Novel,
1221,Horabadu Kollaya,හොරබඩු කොල්ලය,Franklin W Dixon,ෆ්‍රෑන්ක්ලින් ඩබ්ලිව්. ඩික්සන්,Nileka Dananjani Gunawardana,නිලෙකා ධනංජනී ගුණවර්ධන,Sinhala,English Translation Novel,
1222,Embarumhale Abirahasa,ඇඹරුම්හලේ අබිරහස,Franklin W Dixon,ෆ්‍රෑන්ක්ලින් ඩබ්ලිව්. ඩික්සන්,Nileka Dananjani Gunawardana,නිලෙකා ධනංජනී ගුණවර්ධන,Sinhala,English Translation Novel,
1223,Dura Kandu Matha Akunu,දුර කඳු මත අකුණු,Badraji Mahinda Jayathilaka,භද්‍රජී මහින්ද ජයතිලක,,,Sinhala,Sinhala Novel,
1224,Ahimiwu Urumaya,අහිමි වූ උරුමය,J.R.R.Tolkien,ජේ.ආර්.ආර්. ටොල්කියන්,Kavisha Nadun Kaggodarachchi,කවීෂ නඳුන් කැග්ගොඩආරච්චි,Sinhala,English Translation Novel,
1225,Nalandawe Shapaya,නාලන්දාවේ ශාපය,Manna Bahadur,මන්නා බහදූර්,Nimmi Muditha Herath,නිම්මි මුදිතා හේරත්,Sinhala,Indian Translation,
1226,kudu Mahath Sathwayo,කුඩා මහත් සත්ත්වයෝ,James Herriot,ජේම්ස් හෙරියට්,Upali Kannangara,උපාලි කන්නන්ගර,Sinhala,English Translation Novel,
1227,Plantation,ප්ලාන්ටේෂන්,Chris Kuzneski,ක්‍රිස් කුස්නෙස්කි,Sachinthala Fernando,සචින්තලා ප්‍රනාන්දු,Sinhala,English Translation Novel,
1228,Hunters,හන්ටර්ස්,Chris Kuzneski,ක්‍රිස් කුස්නෙස්කි,Sachithra Nanayakkara,සචිත්‍ර නානායක්කාර,Sinhala,English Translation Novel,
1229,Sawan Langa Saranna,සවන් ළඟ සැරන්නා,Alex North,ඇලෙක්ස් නෝර්ත්,Ganga Noroshini Suduwelikanda,ගංගා නිරෝෂිණී සුඩුවැලිකන්ද,Sinhala,English Translation Novel,
1230,Anna Poorna,අන්නපූර්ණා,Bibuthi Bushana Bandopadya,බිබුතිභූෂණ බන්දෝපාධ්‍යාය,Kumari Welihinda,කුමාරි වැලිහින්ද,Sinhala,Indian Translation,
1231,Yakage Nawathena,යකාගේ නැවතුම,Daphene Du morrier,ඩැෆ්නි ඩූ මොරියර්,Chandana Mendis,චන්දන මෙන්ඩිස්,Sinhala,English,
1232,Wiwurtha Marutha,විවෘත මාරුත,Akila Shavinda Dissanayaka,අකිල ශවින්ද දිසානායක,,,Sinhala,Sinhala Novel,
1233,Suriya Kusuma,සූරිය කුසුම,Chulabaya Santha Kumara Herath,චූලාභය ශාන්ත කුමාර හේරත්,,,Sinhala,Sinhala Novel,
1234,Jurasik Dadayama,ජුරාසික් දඩයම,Chandana Mendis,චන්දන මෙන්ඩිස්,,,Sinhala,Sinhala Novel,
1235,Nil Diyamanthi Abirahasa,නිල් දියමන්ති අබිරහස,Chandana Mendis,චන්දන මෙන්ඩිස්,,,Sinhala,Sinhala Novel,
1236,Guest List,ගෙස්ට් ලිස්ට්,Lucy Foley,ලූසි ෆෝලි,Nileka Dananjani Gunawardana,නිලෙකා ධනංජනී ගුණවර්ධන,Sinhala,English Translation Novel,
1237,Athurudan Yuwathiyo,අතුරුදන් යුවතියෝ,Megan Miranda,මේගන් මිරැන්ඩා,Medhawi Dikmadugoda,මේධාවී දික්මඩුගොඩ,Sinhala,English Translation Novel,
1238,Sholtsmarsh Abhirahasa,ෂෝල්ට්මාර්ෂ් අබිරහස,Ellly Griffiths,එලී ග්‍රිෆිත්ස්,Madhara Abeysingha,මධාරා අබේසිංහ,Sinhala,English Translation Novel,
1239,Asthi Nagaraya,අස්ථි නගරය,Cassandra Clare,කැසැන්ඩ්රා ක්ලෙයාර්,Savindi Ariyathilaka,සවිඳි ආරියතිලක,Sinhala,English Translation Novel,
1240,Bhasma Nagaraya,භස්ම නගරය,Cassandra Clare,කැසැන්ඩ්රා ක්ලෙයාර්,Savindi Ariyathilaka,සවිඳි ආරියතිලක,Sinhala,English Translation Novel,
1241,Kada Mini Nagaraya,කැඩ පතේ නගරය,Cassandra Clare,කැසැන්ඩ්රා ක්ලෙයාර්,Savindi Ariyathilaka,සවිඳි ආරියතිලක,Sinhala,English Translation Novel,
1242,Abhirahas Salakuna,අබිරහස් සලකුණ,Lasitha Ravin Umagiliya,ලසිත රවින් උමගිලිය,,,Sinhala,Sinhala Novel,
1243,Hiroshimawe Mal,හිරෝෂිමාවේ මල්,Editha Morris,එඩිටා මොරිස්,Sumithra Rahubadda,සුමිත්‍රා රාහුබද්ධ,Sinhala,English Translation Novel,
1244,Hiroshimawe Kandulu,හිරෝෂිමාවේ කඳුළු,Edita Morris,එඩිටා මොරිස්,Sumithra Rahubadda,සුමිත්‍රා රාහුබද්ධ,Sinhala,English Translation Novel,
1245,Ikaras Punaragamanaya,ඉකරස් පුනරාගමනය,Susitha Ruwan,සුසිත රුවන්,,,Sinhala,Science Fiction,
1246,Duwili Dedunna,දූවිලි දේදුන්න,B.Wongar,බී. වොන්ගාර්,Malani Govinnage,මාලිනී ගොවින්නගේ,Sinhala,English Translation Novel,
1247,Kichera Giri Hisa Bindunu Sewaneli,කිචේරා ගිරි හිස බිඳුණු සෙවණැලි,Mykhailo Mykhailovych Kotsiubynsky,මයිකයිලෝ කොටියුබින්ස්කි,Pushpa Ranjan Wijesinghe,පුෂ්ප රන්ජන් විජේසිංහ,Sinhala,Russian Translation Novel,
1248,Thewul Sitha,තෙවුල් සිත,Isaac Bashevis Singer,අයිසැක් බැෂෙවිස් සිංගර්,Gamini Viyangoda,ගාමිණී වියන්ගොඩ,Sinhala,English Translation Novel,
1249,Nihanda Kala Handa,නිහඬ කළ හඬ,Prabath Chinthaka Meegodage,ප්‍රභාත් චින්තක මීගොඩගේ,,,Sinhala,Other,
1250,Sinha Raaja Dadayama,සිංහ රාජ දඩයම,Badraji Mahinda Jayathilaka,භද්‍රජී මහින්ද ජයතිලක,,,Sinhala,Children Sinhala,
1251,Koti Dadayama,කොටි දඩයම,Gunasekara Gunasoma,ගුණසේකර ගුණසෝම,,,Sinhala,Sinhala Novel,
1252,Dombagala Nidhanaya,දොඹගල නිධානය,Badraji Mahinda Jayathilaka,භද්‍රජී මහින්ද ජයතිලක,,,Sinhala,Children Sinhala,
1253,Sese,සෙසේ,Prasad Samarasekara,ප්‍රසාද සමරසේකර,,,Sinhala,Children Sinhala,
1254,Sanoran Abhirahasa,සනෝරන් අබිරහස,Shiromala S Weerasinghe,ශිරෝමාලා එස්. වීරසිංහ,,,Sinhala,Sinhala Novel,
1255,Sahaja Urumaya,සහජ උරුමය,,Bobby G. Botheju,Bobby B Botheju,බොබී බී බොතේජු,Sinhala,Science Fiction,
1256,Tin Tin ge Wickrama Sanda Gamana,Tin Tin ge Wickrama Sanda Gamana,Herji,හර්ජ්,Samantha Indeewara,සමන්ත ඉන්දීවර,Sinhala,English Translation Children,
1257,Tin Tin ge Wickrama Sanda Gaweshakayo,Tin Tin ge Wickrama Sanda Gaweshakayo,Herji,හර්ජ්,Samantha Indeewara,සමන්ත ඉන්දීවර,Sinhala,English Translation Children,
1258,Tin Tin ge Wickrama Kalu Divayina,Tin Tin ge Wickrama Kalu Divayina,Herji,හර්ජ්,Samantha Indeewara,සමන්ත ඉන්දීවර,Sinhala,English Translation Children,
1259,Tin Tin ge Wickrama Soviet Deshaye,Tin Tin ge Wickrama Soviet Deshaye,Herji,හර්ජ්,Samantha Indeewara,සමන්ත ඉන්දීවර,Sinhala,English Translation Children,
1260,Tin Tin ge Wickrama Tin Tin saha Morunge Wila,Tin Tin ge Wickrama Tin Tin saha Morunge Wila,Herji,හර්ජ්,Samantha Indeewara,සමන්ත ඉන්දීවර,Sinhala,English Translation Children,
1261,Tin Tin Saha Pikaros,ටින්ටින් සහ පිකරෝස්,Herji,හර්ජ්,Samantha Indeewara,සමන්ත ඉන්දීවර,Sinhala,English Translation Children,
1262,Asiri Sirini,අසිරි සිරිනි,,චිත්‍රා අයි. පෙරේරා,Chithra I. Perera,,Sinhala,Other,
1263,Ran Muthu Arama,රන් මුතු අරම,Jayasena Jayakody,ජයසේන ජයකොඩි,,,Sinhala,Sinhala Novel,
1264,Es,ඇස්,Jayathilaka Kammellaweera,ජයතිලක කම්මැල්ලවීර,,,Sinhala,Sinhala Short Stories,
1265,Kalu Kirilli,කළු කිරිල්ලී,Nissanka Wijerathna,නිශ්ශංක විජේරත්න,,,Sinhala,Sinhala Short Stories,
1266,Meyi Mara Prasangaya,මැයි මාර ප්‍රසංගය,Mahinda Prasad Masimbula,මහින්ද ප්‍රසාද මසිඹුල,,,Sinhala,Sinhala Novel,
1267,Kukulek Athingath Kikili,කුකුළෙක් අතින් ගත් කිකිළි,Manjula Wediwardana,මංජුල වෙඩිවර්ධන,,,Sinhala,Sinhala Novel,
1268,Kadadora,කඩදොර,Manihari Jayalath,මනෝහාරි ජයලත්,,,Sinhala,Sinhala Novel,
1269,Makaranandaya,මකරානන්දය,Wirajini Thennakoon,විරාජිනී තැන්නකෝන්,,,Sinhala,Sinhala Novel,
1270,Kasawatha Gena Kathawak,කසාවත ගැන කතාවක්,Samarasinghe Gunasekara,සමරසිංහ ගුණසේකර,,,Sinhala,Sinhala Novel,
1271,Suwa Asapuwa,සුව අසපුව,Jayasena Jayakody,ජයසේන ජයකොඩි,,,Sinhala,Sinhala Novel,
1272,Madolduwa,මඩොල් දූව,Martin wickramasingha,මාර්ටින් වික්‍රමසිංහ,,,Sinhala,Children Sinhala,
1273,Alipelessa,අලිපෙල්ලැස්ස,Dinesh Gunathilaka,දිනේෂ් ගුණතිලක,,,Sinhala,Sinhala Novel,
1274,Eetha Dura Eetha,ඈත දුර ඈත,Ganga Niroshini Suduwelikanda,ගංගා නිරෝෂිණී සුඩුවැලිකන්ද,,,Sinhala,Other,
1275,Jerusalem Duwaruni,ජෙරුසලමේ දුවරුණි,Tharangani Rashika Fernando,තරංගනී රෂිකා ප්‍රනාන්දු,,,Sinhala,Sinhala Novel,
1276,Uthpaththi,උත්පත්ති,Keerthi Welisarage,කීර්ති වැලිසරගේ,,,Sinhala,Sinhala Novel,
1277,Nimanage Ithihasaya,නිමානගේ ඉතිහාසය,Kaushalya kumarasinghe,කෞෂල්‍ය කුමාරසිංහ,,,Sinhala,Sinhala Novel,
1278,Sulangin Wetunu Path,සුළඟින් වැටුණු පත්,Adeline Yen Mah,ඇඩලින් යෙන් මහ්,Susantha Kodithuwakku,සුසන්ත කොඩිතුවක්කු,Sinhala,Chinese Translation,
1279,Dakunu Mayime,දකුණු මායිමේ (South of the Border,Haruki Murakami,Haruki Murakami,Indika Gunawardana,Indika Gunawardena,Sinhala,Japan Translation,
1280,Mathaka Polisiya,මතක පොලිසිය,Yoko Ogawa / StephenSnyder,යොකෝ ඔගාවා,Hasitha Abeywardana,හෂිත අබේවර්ධන,Sinhala,Japan Translation,
1281,Dewaduthayange Kerella,දේවදූතයන්ගේ කෙරැල්ල,Anatole France,ඇනටෝල් ප්‍රාන්ස්,T. Andradi,ටී. අන්ද්‍රාදි,Sinhala,French Translation,
