"54","Ape Kalaye Weerayek","Mikhail Lermanthev","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"55","Thoragath Keti Nawakatha","Ivan Thurgenev","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"56","Keti Nawa Katha","Chinghiz Aitmatow","Dedigama V Rodrigo","Sinhala","Russian Translation Novel"
"57","Minisage samathkam",,"Piyasena Manilgama","Sinhala","Russian Translation Novel"
"58","Bimgei Sirakaruwa",,"K.G.Karunathilaka","Sinhala","Russian Translation Novel"
"59","Tibbatha Asramayaka Ingrisi Biksuwa","Lobsang Jivaka","Abaya Hewawasam","Sinhala","Tibet Translation"
"60","Tibet Rate Sathwasak","Heinrich herror","M.H.Gunathilaka","Sinhala","Tibet Translation"
"61","Thewana Esa","T.Lobsan Rampa","S.A.Jayasirimin Subasinghe","Sinhala","Tibet Translation"
"62","Rampa ge kathawa","T. lobsang","kumara Siriwardhana","Sinhala","Tibet Translation"
"63","Himabima","Yasunari Kawabatha","Jayantha Wimalasena","Sinhala","Japan Translation"
"64","Japan Sen Katha",,"Chandima Wijebandara","Sinhala","Japan Translation"
"65","Me mage paradeesayayi","Hyok Kang - Phillippe Grengarow","Nimal Somarathna","Sinhala","N.korea Translation"
"66","Niraya","Dan Brown","Kumara Siriwardana","Sinhala","English Translation Novel"
"67","Da Vinchi Kethaya","Dan Brown","Kumara Siriwardana","Sinhala","English Translation Novel"
"68","Sengawunu Sankethaya","Dan Brown","Kumara Siriwardana","Sinhala","English Translation Novel"
"69","Sambhawaya","Dan Brown","Kumara Siriwardana","Sinhala","English Translation Novel"
"70","Harima Pudumai","Roald Dahl","Chandana Mendis","Sinhala","English Translation Novel"
"71","Kokila Medura",,"Chandana Mendis","Sinhala","English Translation Novel"
"72","Thrasthawadihu",,"Jinadasa Lelwala","Sinhala","English Translation Novel"
"73","Welikatharaka Atharamanwa",,"K.G.Karunathilaka","Sinhala","English Translation Novel"
"74","Udyana Sambashanaya",,"K.G.Karunathilaka","Sinhala","English Translation Novel"
"75","Mayakari",,"Chandana Mendis","Sinhala","English Translation Novel"
"76","Bothale Bhoothaya",,"H Jayarathne","Sinhala","English Translation Novel"
"77","Momo","Mikhail Endey","Karunawansa Somapala","Sinhala","English Translation Novel"
"78","Sinhalaya Sahodarayo","Astrid Lindgren","Vijitha Gunarathna","Sinhala","English Translation Novel"
"79","Sundarawu Ma Wisu Mitiyawatha","Richard Levlyn","Kulasiri Gunasekara","Sinhala","English Translation Novel"
"80","Kongo","Michael Crichton","Gamini Kumara Vithana","Sinhala","English Translation Novel"
"81","Wismitha Wanantharaya","Trevor La Brooy","Duglas B. Ranasinghe","Sinhala","English Translation Novel"
"82","Wismitha Wanadahana","David Grann","G.A.Nalani","Sinhala","English Translation Novel"
"83","Mlechchayan Athara Siwmasak","Herman Melville","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"84","Hudekala Minisa","W.G.C.Norwood","Sujiwa Disanayaka","Sinhala","English Translation Novel"
"85","Kalki","Gor Vidhal","Gamini Viyangoda","Sinhala","English Translation Novel"
"86","Jivathun Athara","Piers Paul Read","Indrani Karunarathna","Sinhala","English Translation Novel"
"87","Sudu Kalu","Harper Lee","Chithra.I.Perera","Sinhala","English Translation Novel"
"88","Beloved","Toni Morrison","P.B.Jayasekara","Sinhala","English Translation Novel"
"89","Handana Muhuda","Dalane Matthee","Anula de Silva","Sinhala","English Translation Novel"
"90","Sorba Nam Greekaya","Nikos Kazantzakis","Saddatissa Wadigamangawa","Sinhala","English Translation Novel"
"91","Yakada Yugaya","J.M.Coetze","Gamini Viyangoda","Sinhala","English Translation Novel"
"92","Spartcus","Howard Fast","Sudath Bandara","Sinhala","English Translation Novel"
"93","Buruwa Mahathage Charithapadanaya","Krishan Chandar","Gunathilaka Metiyagane","Sinhala","English Translation Novel"
"94","Sopeege Lokaya","Jostein Gaarder","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"95","Nattal Geethaya","Charles Dickens","Cyril C Perera","Sinhala","English Translation Novel"
"96","Robinson Kruso","Denial Defo","Adwin Ranawaka","Sinhala","English Translation Novel"
"97","Kalu Heesaraya","R.L. Stevenson","Suraweera Wickramasinghe","Sinhala","English Translation Novel"
"98","Ridi Asipatha","Ian Serraillier","Senarathna Weerasinghe","Sinhala","English Translation Novel"
"99","Muhudubath Wu Selaruwakuge Kathawa","Gabiriel Garcia Marquez","Piyal Jayarathna","Sinhala","English Translation Novel"
"100","Santhiyago nam Serisaranna","Paulo Coeiho","Chulananda Samaranayaka","Sinhala","English Translation Novel"
"101","Anduru Palingu Thala Medin","Jostein Gaarder","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"102","Mage Pawulai Anek Sattui","Gerald Durrell","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"103","Mas Maduwa","Kurt Vonnegut","Chulananda Samaranayaka","Sinhala","English Translation Novel"
"104","Karumakkara Kathawak","Gabiriel Garcia Marquez","Gamini Viyangoda","Sinhala","English Translation Novel"
"105","Siyak Wasaka Hudakalawa","Gabiriel Garcia Marquez","Abe Dissanayaka","Sinhala","English Translation Novel"
"106","Govipola Andaraya","George Orwell","Sumithra Rahubadda","Sinhala","English Translation Novel"
"107","Origon Weera Charikawa","Rutgers Van Der Loeff","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"108","Jane Eyre","Chrlotte Bronte","D.M.Karunarathna","Sinhala","English Translation Novel"
"109","Jane Eyre","Charlot Bronte","R.N.H.Perera","Sinhala","English Translation Novel"
"110","Gini Hal Gini Keli","Willard Price","Wijayarathna Dolawatta","Sinhala","English Translation Novel"
"111","Kalayata Amathakawu Deshaya","Edgar Rice Burroughs","Ananda Sellahewa","Sinhala","English Translation Novel"
"112","Amathakawu Desayaka Atharamanwa","Edgar Rice Burroughs","Ananda Sellahewa","Sinhala","English Translation Novel"
"113","Lenwalasage Gothraya  1","Jean M. Auel","Abaya Hewawasam","Sinhala","English Translation Novel"
"114","Lenwalasage Gothraya  2","Jean M. Auel","Abaya Hewawasam","Sinhala","English Translation Novel"
"115","Robin Hood",,"David Karunarathna","Sinhala","English Translation Novel"
"116","Allan Kwartermange Weera Charikawa","H.Raider Hagard","Chandana Mendis","Sinhala","English Translation Novel"
"117","Vijayagrahi konan","Robert E Howaed","K.G.Karunathilaka","Sinhala","English Translation Novel"
"118","Vijayagrahi Konan / Makarage Horawa","Robert E Howaed","Domonoc Mendis","Sinhala","English Translation Novel"
"119","Sendawe Sirakaruwa","Anthony Hope Hawkins","S.Chandrasiri Dasanayaka","Sinhala","English Translation Novel"
"120","Hentsowe Roopat","Anthony Hope Hawkins","S.Chandrasiri Dasanayaka","Sinhala","English Translation Novel"
"121","Masterman Redy","Fredrick Meriat","K.G.Karunathilaka","Sinhala","English Translation Novel"
"122","Karnal saha Erendira","Gabiriel Garcia Marquez","Janaka Inimankada","Sinhala","English Translation Novel"
"123","Piyapathak wan Jivithayak","Milan Kundera","Gamini Wijethunga","Sinhala","English Translation Novel"
"124","Eva Luna","Isabel Iyande","Gamini Viyangoda","Sinhala","English Translation Novel"
"125","Gringo Mahalla","Carloa Fuentes","Pasan Kodikara","Sinhala","English Translation Novel"
"126","Seeya saha Munubura","Maxim Gorki","Bandusena Gunasekara","Sinhala","English Translation Novel"
"127","Sangu Andaheraya","Marie Majerowa","K.B.Sugathadasa","Sinhala","English Translation Novel"
"128","Lokaye Asawa","H.Rider Haggard","S.chandrasiri Dasanayaka","Sinhala","English Translation Novel"
"129","Kung fu","Arthur weilly","Senarathna Weerasinghe","Sinhala","English Translation Novel"
"130","Buruma Samaya","George orwell","Ananda Sellahewa","Sinhala","English Translation Novel"
"131","Wanawasanaya","James Vance Marshall","Upali kannangara","Sinhala","English Translation Novel"
"132","Anthima Mohoikan Gothrikaya","James Penimor Cooper","Gunathilaka Nissanka","Sinhala","English Translation Novel"
"133","Samudda Yathikawa","Khaled Hosseini","Ganga Niroshini Suduwelikanda","Sinhala","English Translation Novel"
"134","Re bowu Ikbithi","K.A. Abbas","Sugathapala de Silva","Sinhala","English Translation Novel"
"135","Dampata Kathawa","Alice Walker","Amali Boralugoda","Sinhala","English Translation Novel"
"136","1984","George orwel","Ariyawansa Ranweera","Sinhala","English Translation Novel"
"137","Anunge le","simone de Beauvoir","Gamini Viyangoda","Sinhala","English Translation Novel"
"138","Yuddaya ha Amma","Necholas Gage","Anula de Silva","Sinhala","English Translation Novel"
"139","Ukusu Dadayama","Jack Higgins","Indrani Karunarathna","Sinhala","English Translation Novel"
"140","Tom Mamage Kutiya","Harriet Beecher Stowe","Justin Wijayawardana","Sinhala","English Translation Novel"
"141","Piyedra Ganga bada hinda Welapunemi","Paulo Coelho","Piyal Jayarathna","Sinhala","English Translation Novel"
"142","Wanaraya","Chu Cheng Eng","A.P.Gunarathna","Sinhala","English Translation Novel"
"143","Akrawe Athpitapatha","Paulo Coelho","D.M.S.Ariyarathna","Sinhala","English Translation Novel"
"144","Nothradamaye Kuda","Victor Hugo","Kumara Siriwardana","Sinhala","English Translation Novel"
"145","Mosad","Michael Bar","Yasasiri Janaka Kumara","Sinhala","English Translation Novel"
"146","Solamange Geethaya","Toni Morrison",,"Sinhala","English Translation Novel"
