id,name,sinhala name,author,author sinhala name,translator,translator sinhala name,language,categoery,Tags
2,Hima Athara,හිම අතර,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,P.M.Jayathilaka,පී.එම්. ජයතිලක,Sinhala,French Translation,
3,Piyer Ha Shan,පියර් හා ෂාන්,Gee De Mopashan,ගයි ද මෝපසාන්,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
4,Ema Bowari,එමා බෝවරි,Gustaw Flaubert,ගුස්ටාව් ෆ්ලෝබෙයාර්,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,French Translation,
5,Shen,ෂේන්,Jack Sheper,ජැක් ෂෙපර්ඩ්,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,French Translation,
6,Korsikanu Sahodarayo,කෝර්සිකානු සහෝදරයෝ,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
7,Montha Cristo Situwaraya 1,මොන්ත ක්‍රිස්තෝ සිටුවරයා 1,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
8,Montha Cristo Situwaraya 2,මොන්ත ක්‍රිස්තෝ සිටුවරයා 2,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
9,Montha Cristo Situwaraya 3,මොන්ත ක්‍රිස්තෝ සිටුවරයා 3,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
10,Montha Cristo Situwaraya 4,මොන්ත ක්‍රිස්තෝ සිටුවරයා 4,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
11,Montha Cristo Situwaraya 5,මොන්ත ක්‍රිස්තෝ සිටුවරයා 5,Alexander Dumas,ඇලෙක්සැන්ටර් ඩූමා,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
12,Montha Cristo Situwaraya 6,මොන්ත ක්‍රිස්තෝ සිටුවරයා 6,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
13,Denuwara Kathawa,දෙනුවර කතාව,Charles Dickens,චාල්ස් ඩිකන්ස්,T.B.Ilangarathna,ටී.බී. ඉලංගරත්න,Sinhala,French Translation,
14,Suwanda wilawun,සුවඳ විලවුන්,Patrick Suskind,පැට්රික් සුස්කයින්ඩ්,Asani salika Ranasinghe,අසනි සාලිකා රණසිංහ,Sinhala,French Translation,
15,Abirahas Mandiraya,අබිරහස් මන්දිරය,,නොදනී,K.G.Karunathilaka,කේ.ජී. කරුණාතිලක,Sinhala,French Translation,
16,Yawes lu minisa,යවෙස් ලූ මිනිසා,Alexandar Dumas,ඇලෙක්සැන්ඩර් ඩූමා,kumara Siriwardhana,කුමාර සිරිවර්ධන,Sinhala,French Translation,
17,Kalu Dala Mala,කළු දළ මල,Alexander Dumas,ඇලෙක්සැන්ඩර් ඩූමා,Kumara Siriwardana,කුමාර සිරිවර්ධන,Sinhala,French Translation,
18,Sira Kandawura,සිර කඳවුර,Wasil Baikoach,වාසිල් බයිකෝව්,Sujiwa Disanayaka,සුජීව දිසානායක,Sinhala,Russian Translation Novel,
19,Sudu Ruwalak Dilei,සුදු රුවලක් දිලෙයි,Walentine Kathayev,වැලන්ටීන් කතායෙව්,Menak Priyantha Bandara,මේනක ප්‍රියන්ත බණ්ඩාර,Sinhala,Russian Translation Novel,
20,Owun Yuda Wedune Mawbima Wenuweni,ඔවුන් යුද වැදුණේ මව්බිම වෙනුවෙනි,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,
21,Welasana Koku Sarathi,වේලාසන කොකු සාරතී,Chinghiz Aitmatow,චිංගීස් අයිත්මාතව්,D.M.S.Ariyarathna,ඩී.එම්.එස්. ආරියරත්න,Sinhala,Russian Translation Novel,
22,Peralu Newum Pasa 1,පෙරළු නැවුම් පස 1,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,
23,Peralu Newum Pasa 2,පෙරළු නැවුම් පස 2,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,
24,Thun Awurudda,තුන් අවුරුද්ද,Antthon Chekov,ඇන්ටන් චෙකොව්,Dedigama V Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,
25,Wane Pannaraya Lebuheti -1,වානේ පන්නරය ලැබූ හැටි 1,Nikollay Ostrowsky,නිකොලායි ඔස්ත්‍රොව්ස්කි,Dedigama V Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,
26,Wane Pannaraya Lebuheti -2,වානේ පන්නරය ලැබූ හැටි 2,Nikollay Ostrowsky,නිකොලායි ඔස්ත්‍රොව්ස්කි,Dedigama V Rodrigo,දැඩිගම වී. රොඩ්රිගෝ,Sinhala,Russian Translation Novel,
27,Mala Minissu,මළ මිනිස්සු,Nikollay Gogol,නිකොලායි ගොගොල්,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,
28,Oblomov,ඔබ්ලොමොව්,Ivan Goncharov,අයිවන් ගොන්චරොව්,Ananda Amarasiri,ආනන්ද අමරසිරි,Sinhala,Russian Translation Novel,
29,Yakada Prawahaya,යකඩ ප්‍රවාහය,Alexander Serapimovich,ඇලෙක්සැන්ඩර් සෙරාෆිමොවිච්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,
30,Don Nadiya Nisalawa Galabasi 1,ඩොන් නදිය නිසලව ගලාබසී 1,Mikhail Sholokhov,මිහායිල් ෂොලොකොව්,Mahinda Senarath Gamage,මහින්ද සෙනරත් ගමගේ,Sinhala,Russian Translation Novel,
31,kamakata Nethi Ekekuge Jivithaya,කමකට නැති එකෙකුගේ ජීවිතය,Maxim Gorki,මැක්සිම් ගෝර්කි,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,
32,Samuganimu Gulsari,සමුගනිමු ගුල්සාරි,Chinghiz Aitmatow,චිංගීස් අයිත්මාතව්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,
33,Haye Wattuwa,හයේ වාට්ටුව,Antthon Chekov,ඇන්ටන් චෙකොව්,M.Sirisena,එම්. සිරිසේන,Sinhala,Russian Translation Novel,
34,Yuddaya ha Samaya -1,යුද්ධය හා සාමය 1,Leo Tholsthoi,ලියෝ ටෝල්ස්ටෝයි,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,
35,Yuddaya ha Samaya -2,යුද්ධය හා සාමය 2,Leo Tholsthoi,ලියෝ ටෝල්ස්ටෝයි,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,
36,Yuddaya ha Samaya -3,යුද්ධය හා සාමය 3,Leo Tholsthoi,ලියෝ ටෝල්ස්ටෝයි,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,
37,Yuddaya ha Samaya -4,යුද්ධය හා සාමය 4,Leo Tholsthoi,ලියෝ ටෝල්ස්ටෝයි,Cyril C Perera,සිරිල් සී. පෙරේරා,Sinhala,Russian Translation Novel,
38,Tharas Sevchenko,තාරස් ෂෙව්චෙන්කෝ,Consthanthine Pavsthovsky,කොන්ස්ටන්ටයින් පවුස්තොව්ස්කි,Rupasiri Perea,රූපසිරි පෙරේරා,Sinhala,Russian Translation Novel,
39,Ivan,ඉවාන්,Wledimir Bogomolov,ව්ලැඩිමීර් බොගොමොලොව්,Chulananda Samaranayaka,චූලානන්ද සමරනායක,Sinhala,Russian Translation Novel,
